,магазины,пятерочки
0,6,1
12,7,3
24,10,3
36,6,1
48,5,1
60,6,3
72,5,2
84,6,1
96,6,1
108,7,2
120,7,3
132,9,5
144,8,6
156,4,2
168,4,1
180,4,0
192,3,1
204,8,3
216,10,4
228,5,2
240,2,1
252,4,2
264,4,1
276,11,5
288,4,2
300,8,2
312,4,1
324,6,3
336,8,3
348,7,3
360,8,3
372,2,0
384,8,3
396,4,3
408,4,1
420,8,4
432,4,1
444,8,4
456,8,1
468,7,2
480,7,1
492,9,4
504,9,3
516,8,3
528,2,0
540,1,0
552,3,0
564,5,0
576,4,3
588,1,0
600,3,2
612,4,1
624,5,1
636,7,2
648,5,1
660,6,1
672,9,4
684,3,0
696,3,0
708,3,0
720,1,0
732,8,3
744,9,4
756,9,4
768,3,0
780,12,5
792,5,1
804,5,1
816,1,0
828,8,1
840,8,4
852,9,3
864,10,6
876,5,2
888,6,0
900,3,0
912,5,3
924,3,1
936,3,1
948,5,3
960,6,1
972,4,0
984,10,3
996,3,2
1008,5,1
1020,2,1
1032,5,2
1044,10,3
1056,7,1
1068,8,4
1080,3,2
1092,4,0
1104,9,2
1116,2,0
1128,4,0
1140,9,5
1152,5,2
1164,5,4
1176,8,3
1188,3,0
1200,3,0
1212,5,1
1224,6,1
1236,3,1
1248,6,0
1260,2,1
1272,3,2
1284,7,3
1296,4,0
1308,2,0
1320,3,1
1332,4,0
1344,7,2
1356,6,1
1368,11,2
1380,7,4
1392,6,3
1404,9,3
1416,5,4
1428,8,3
1440,6,0
1452,2,0
1464,10,4
1476,3,1
1488,5,1
1500,4,1
1512,12,2
1524,4,2
1536,1,0
1548,6,1
1560,4,2
1572,8,2
1584,6,2
1596,7,3
1608,4,1
1620,3,0
1632,5,1
1644,7,1
1656,4,2
1668,7,3
1680,8,3
1692,9,3
1704,7,2
1716,1,0
1728,11,4
1740,1,0
1752,6,4
1764,9,5
1776,7,1
1788,12,1
1800,10,0
1812,6,0
1824,9,3
1836,8,6
1848,6,3
1860,4,1
1872,8,4
1884,5,2
1896,6,1
1908,0,0
1920,7,3
1932,3,0
1944,4,0
1956,2,0
1968,5,2
1980,8,3
1992,8,2
2004,4,2
2016,9,2
2028,1,1
2040,11,4
2052,8,3
2064,1,1
2076,4,0
2088,5,1
2100,2,1
2112,7,2
2124,6,2
2136,5,1
2148,9,1
2160,4,2
2172,7,3
2184,9,2
2196,5,2
2208,8,1
2220,9,2
2232,6,1
2244,6,4
2256,8,2
2268,3,0
2280,0,0
2292,7,1
2304,6,1
2316,8,4
2328,5,2
2340,6,0
2352,3,1
2364,6,1
2376,4,1
2388,2,0
2400,6,3
2412,6,0
2424,9,4
2436,7,2
2448,4,2
2460,12,7
2472,3,2
2484,8,1
2496,3,2
2508,7,4
2520,4,2
2532,8,2
2544,5,2
2556,7,0
2568,5,1
2580,3,0
2592,1,0
2604,6,2
2616,5,1
2628,13,7
2640,4,0
2652,3,0
2664,2,0
2676,7,0
2688,7,2
2700,10,2
2712,1,1
2724,5,1
2736,3,2
2748,7,2
2760,4,0
2772,2,0
2784,5,2
2796,6,3
2808,5,0
2820,6,0
2832,7,0
2844,10,2
2856,13,4
2868,3,0
2880,3,1
2892,3,1
2904,2,1
2916,3,1
2928,2,1
2940,3,0
2952,8,2
2964,2,0
2976,3,0
2988,2,2
3000,5,2
3012,3,1
3024,6,2
3036,0,0
3048,5,0
3060,6,2
3072,1,0
3084,12,2
3096,2,2
3108,10,3
3120,8,4
3132,8,4
3144,10,3
3156,5,3
3168,3,2
3180,1,0
3192,4,3
3204,6,3
3216,4,1
3228,6,3
3240,2,0
3252,1,0
3264,0,0
3276,4,2
3288,6,3
3300,3,1
3312,4,2
3324,4,2
3336,4,2
3348,2,1
3360,7,3
3372,1,1
3384,5,2
3396,5,2
3408,4,2
3420,2,0
3432,2,1
3444,4,2
3456,1,0
3468,4,2
3480,5,3
3492,4,1
3504,2,2
3516,7,0
3528,6,0
3540,5,0
3552,6,2
3564,2,1
3576,8,3
3588,6,1
3600,3,0
3612,1,0
3624,4,0
3636,8,2
3648,4,1
3660,6,1
3672,3,1
3684,6,3
3696,7,2
3708,4,3
3720,2,1
3732,4,0
3744,4,1
3756,3,1
3768,4,2
3780,4,1
3792,7,2
3804,5,1
3816,3,1
3828,5,2
3840,5,0
3852,6,2
3864,5,2
3876,4,0
3888,5,2
3900,4,1
3912,5,1
3924,2,0
3936,1,0
3948,2,0
3960,6,1
3972,10,2
3984,6,3
3996,8,2
4008,3,3
4020,3,1
4032,11,3
4044,6,2
4056,3,2
4068,1,0
4080,1,1
4092,5,1
4104,4,1
4116,4,2
4128,7,3
4140,5,1
4152,4,2
4164,5,2
4176,1,1
4188,7,1
4200,3,1
4212,4,1
4224,8,2
4236,8,1
4248,4,1
4260,9,2
4272,5,1
4284,7,1
4296,7,2
4308,7,1
4320,8,3
4332,4,1
4344,1,1
4356,4,2
4368,7,4
4380,3,0
4392,6,3
4404,4,1
4416,4,0
4428,5,0
4440,1,1
4452,5,2
4464,1,0
4476,7,3
4488,6,3
4500,7,3
4512,4,2
