,выручка,дата_открытия
0,40508734.478,Средний по возрасту
1,44340825.358,Средний по возрасту
2,47903192.207,Средний по возрасту
3,48477391.49,Средний по возрасту
4,48013961.681,Средний по возрасту
5,43848131.749,Средний по возрасту
6,35517383.547,Средний по возрасту
7,35573910.124,Средний по возрасту
8,55802177.904,Средний по возрасту
9,57831328.994,Средний по возрасту
10,56928209.247,Средний по возрасту
11,60319872.611,Средний по возрасту
12,68182443.027,Средний по возрасту
13,69709614.99,Средний по возрасту
14,82039848.054,Средний по возрасту
15,76002178.827,Средний по возрасту
16,76955301.255,Средний по возрасту
17,71612345.368,Средний по возрасту
18,68214437.718,Средний по возрасту
19,69446415.833,Средний по возрасту
20,71178586.553,Средний по возрасту
21,75725785.425,Средний по возрасту
22,77000427.473,Средний по возрасту
23,84047253.864,Средний по возрасту
24,26766289.646,Средний по возрасту
25,27487381.104,Средний по возрасту
26,28473488.423,Средний по возрасту
27,29291279.985,Средний по возрасту
28,30665928.285,Средний по возрасту
29,28601610.303,Средний по возрасту
30,29157036.904,Средний по возрасту
31,30479943.479,Средний по возрасту
32,29616590.682,Средний по возрасту
33,31974349.51,Средний по возрасту
34,31998513.55,Средний по возрасту
35,33897074.898,Средний по возрасту
36,72868846.01,Средний по возрасту
37,75507901.944,Средний по возрасту
38,78582286.117,Средний по возрасту
39,73367709.192,Средний по возрасту
40,79024420.53,Средний по возрасту
41,69517911.259,Средний по возрасту
42,68586877.957,Средний по возрасту
43,69429266.869,Средний по возрасту
44,71953189.403,Средний по возрасту
45,72664337.994,Средний по возрасту
46,71038338.78,Средний по возрасту
47,80375546.524,Средний по возрасту
48,78291417.707,Средний по возрасту
49,85135994.967,Средний по возрасту
50,99141348.628,Средний по возрасту
51,95298735.184,Средний по возрасту
52,96642166.635,Средний по возрасту
53,88677359.016,Средний по возрасту
54,85388951.789,Средний по возрасту
55,83816994.457,Средний по возрасту
56,96442179.703,Средний по возрасту
57,102434870.134,Средний по возрасту
58,103535104.914,Средний по возрасту
59,114266419.873,Средний по возрасту
60,55156540.312,Средний по возрасту
61,58962299.369,Средний по возрасту
62,62313416.075,Средний по возрасту
63,61040520.49,Средний по возрасту
64,63769630.571,Средний по возрасту
65,62874974.323,Средний по возрасту
66,66134745.985,Средний по возрасту
67,63280983.58,Средний по возрасту
68,62550621.437,Средний по возрасту
69,66503819.587,Средний по возрасту
70,65201940.996,Средний по возрасту
71,71985240.597,Средний по возрасту
72,44868999.527,Средний по возрасту
73,43341543.414,Средний по возрасту
74,51612556.056,Средний по возрасту
75,47019909.798,Средний по возрасту
76,49226293.331,Средний по возрасту
77,48187886.108,Средний по возрасту
78,50256449.381,Средний по возрасту
79,47279359.335,Средний по возрасту
80,46336570.894,Средний по возрасту
81,48167417.897,Средний по возрасту
82,48894428.582,Средний по возрасту
83,53636344.431,Средний по возрасту
84,47476847.287,Средний по возрасту
85,28975125.736,Средний по возрасту
86,28597975.154,Средний по возрасту
87,50226877.478,Средний по возрасту
88,50215243.75,Средний по возрасту
89,50497045.37,Средний по возрасту
90,49406772.839,Средний по возрасту
91,52304882.969,Средний по возрасту
92,49403619.187,Средний по возрасту
93,45918750.902,Средний по возрасту
94,47308419.044,Средний по возрасту
95,55255022.238,Средний по возрасту
96,23639596.31,Средний по возрасту
97,24195444.203,Средний по возрасту
98,26256891.356,Средний по возрасту
99,24680696.634,Средний по возрасту
100,24029932.191,Средний по возрасту
101,19752237.381,Средний по возрасту
102,18269239.787,Средний по возрасту
103,18906671.036,Средний по возрасту
104,23142093.71,Средний по возрасту
105,24327842.914,Средний по возрасту
