,пятерочки,выручка
0,1,40508734.478
1,1,44340825.358
2,1,47903192.207
3,1,48477391.49
4,1,48013961.681
5,1,43848131.749
6,1,35517383.547
7,1,35573910.124
8,1,55802177.904
9,1,57831328.994
10,1,56928209.247
11,1,60319872.611
12,3,68182443.027
13,3,69709614.99
14,3,82039848.054
15,3,76002178.827
16,3,76955301.255
17,3,71612345.368
18,3,68214437.718
19,3,69446415.833
20,3,71178586.553
21,3,75725785.425
22,3,77000427.473
23,3,84047253.864
24,3,26766289.646
25,3,27487381.104
26,3,28473488.423
27,3,29291279.985
28,3,30665928.285
29,3,28601610.303
30,3,29157036.904
31,3,30479943.479
32,3,29616590.682
33,3,31974349.51
34,3,31998513.55
35,3,33897074.898
36,1,72868846.01
37,1,75507901.944
38,1,78582286.117
39,1,73367709.192
40,1,79024420.53
41,1,69517911.259
42,1,68586877.957
43,1,69429266.869
44,1,71953189.403
45,1,72664337.994
46,1,71038338.78
47,1,80375546.524
48,1,78291417.707
49,1,85135994.967
50,1,99141348.628
51,1,95298735.184
52,1,96642166.635
53,1,88677359.016
54,1,85388951.789
55,1,83816994.457
56,1,96442179.703
57,1,102434870.134
58,1,103535104.914
59,1,114266419.873
60,3,55156540.312
61,3,58962299.369
62,3,62313416.075
63,3,61040520.49
64,3,63769630.571
65,3,62874974.323
66,3,66134745.985
67,3,63280983.58
68,3,62550621.437
69,3,66503819.587
70,3,65201940.996
71,3,71985240.597
72,2,44868999.527
73,2,43341543.414
74,2,51612556.056
75,2,47019909.798
76,2,49226293.331
77,2,48187886.108
78,2,50256449.381
79,2,47279359.335
80,2,46336570.894
81,2,48167417.897
82,2,48894428.582
83,2,53636344.431
84,1,47476847.287
85,1,28975125.736
86,1,28597975.154
87,1,50226877.478
88,1,50215243.75
89,1,50497045.37
90,1,49406772.839
91,1,52304882.969
92,1,49403619.187
93,1,45918750.902
94,1,47308419.044
95,1,55255022.238
96,1,23639596.31
97,1,24195444.203
98,1,26256891.356
99,1,24680696.634
100,1,24029932.191
101,1,19752237.381
102,1,18269239.787
103,1,18906671.036
104,1,23142093.71
105,1,24327842.914
106,1,23151247.615
107,1,24079131.997
108,2,82827782.209
109,2,86383354.055
110,2,94719438.4
111,2,92767225.466
112,2,94626679.655
113,2,91971240.987
114,2,95984937.942
115,2,93790667.032
116,2,94379713.985
117,2,96578068.763
118,2,91323128.054
119,2,100591009.042
120,3,48787406.55
121,3,48408605.435
122,3,53323848.343
123,3,51206732.211
124,3,50645572.252
125,3,49152258.501
126,3,50328460.214
127,3,52409166.438
128,3,51332539.641
129,3,53257331.404
130,3,55574497.999
131,3,62310589.988
132,5,27599378.841
133,5,28381800.629
134,5,30934090.217
135,5,29763508.182
136,5,30844053.384
137,5,29710857.271
138,5,29234374.746
139,5,29724276.374
140,5,29173742.9
141,5,31770086.637
142,5,30630829.126
143,5,36488317.385
144,6,89380684.736
145,6,92930731.768
146,6,99872376.322
147,6,96284822.229
148,6,97325016.275
149,6,92024253.336
150,6,94683020.615
151,6,91582245.106
152,6,93642127.208
153,6,96095044.064
154,6,100025318.018
155,6,116788486.97
156,2,51327650.768
157,2,93853267.153
158,2,105022826.107
159,2,102280326.442
160,2,101707101.382
161,2,84423507.643
162,2,82216981.66
163,2,76518213.841
164,2,75376223.378
165,2,81960380.174
166,2,84870096.196
167,2,96636860.534
168,1,63619563.149
169,1,68361648.387
170,1,77268717.605
171,1,70986706.921
172,1,70941506.926
173,1,65925202.377
174,1,65522019.588
175,1,62659314.514
176,1,61141937.732
177,1,63753064.611
178,1,67434782.694
179,1,77514754.522
180,0,60367429.459
181,0,61688198.718
182,0,66494825.984
183,0,63870250.544
184,0,66582188.507
185,0,60863220.908
186,0,60394100.202
187,0,57940142.75
188,0,63537419.776
189,0,66870825.91
190,0,67207418.263
191,0,77162371.875
192,1,51467900.339
193,1,52824414.185
194,1,59196293.052
195,1,57502427.475
196,1,59101362.956
197,1,55484527.557
198,1,56757475.535
199,1,56509590.049
200,1,57365811.555
201,1,58677643.313
202,1,59307350.502
203,1,67038323.023
204,3,55085125.652
205,3,57052646.715
206,3,61998234.121
207,3,58877490.164
208,3,60053605.889
209,3,55812175.419
210,3,55790993.511
211,3,56761574.809
212,3,57339949.457
213,3,62404457.002
214,3,60326611.461
215,3,66979654.644
216,4,40080647.029
217,4,39256713.864
218,4,47959948.402
219,4,40718101.857
220,4,41722804.011
221,4,38292271.417
222,4,39110836.968
223,4,38225003.39
224,4,39333528.992
225,4,39112744.701
226,4,39453038.469
227,4,46466522.66
228,2,47111174.519
229,2,48758810.691
230,2,55219833.653
