,домохозяйств,пятерочки
12,4152,1
48,6194,3
144,6598,3
168,5731,1
216,6798,1
324,7761,3
348,7710,2
372,5997,1
396,6253,1
420,6911,2
444,8507,3
492,7827,5
540,7542,6
576,6551,2
624,5771,1
648,4017,0
696,3079,1
720,5619,3
744,8280,4
876,5259,2
888,3450,1
1020,7730,2
1032,5996,1
1068,7808,5
1116,6847,2
1212,9280,2
1248,3574,1
1272,4990,3
1296,8868,3
1332,8875,3
1344,7679,3
1356,5553,0
1368,4786,3
1428,5552,3
1608,5096,1
1620,6460,4
1656,6238,1
1764,5048,4
1812,7456,1
1824,5173,2
1896,8364,1
1944,8406,4
1956,10325,3
1968,6454,3
1980,7146,0
2136,2877,0
2160,7506,0
2196,7120,0
2220,5581,3
2232,3996,0
2244,3121,2
2520,2095,1
2556,7162,1
2592,5405,2
2616,6501,1
2628,5054,1
2700,9475,4
2712,3846,0
2844,3348,0
2904,3812,0
2928,1882,0
2940,10596,3
2952,5531,4
2964,6159,4
3204,5243,0
3264,11222,5
3300,2523,1
3396,5336,1
3408,1398,0
3456,7287,1
3468,6166,4
3480,6033,3
3492,8130,6
3540,6889,2
3588,5848,0
3612,3914,0
3768,5841,3
4080,2792,1
4104,3846,1
4152,4744,3
4200,8869,1
4212,9058,0
4236,5979,3
4272,4691,2
4356,4232,1
4368,576,1
4416,3698,2
4452,9539,3
4488,7481,1
4524,6893,4
4596,2664,2
4632,8253,0
4668,8715,2
4680,4250,0
4692,5560,0
4728,10724,5
4824,4033,2
4860,6195,4
4896,4904,3
5016,3453,0
5028,2739,0
5064,4264,1
5076,4505,1
5088,5480,1
5100,6000,0
5112,399,1
5124,9218,2
5148,6258,3
5220,3571,0
5268,2252,0
5400,3465,1
5424,6476,0
5436,9188,2
5448,10694,1
5460,9519,2
5520,7490,4
5532,6730,3
5544,6675,3
5568,7281,4
5580,6571,3
5604,7450,0
5640,622,0
5724,8563,4
5772,1424,1
5808,5105,1
6036,4928,1
6084,7892,2
6096,4956,2
6132,1397,0
6168,7394,1
6192,4821,2
6228,6975,2
6264,9645,2
6288,6714,3
6360,4872,1
6396,4251,0
6408,187,1
6492,8588,1
6516,4122,2
6528,7217,3
6564,6666,3
6660,7633,3
6708,5956,2
6744,2188,0
6816,8690,4
7008,5974,0
7020,7497,4
7044,6766,5
7092,5153,1
7116,5511,1
7128,7965,0
7176,7662,0
7248,10936,3
7368,6286,6
7404,7179,3
7452,3685,1
7596,6498,4
7716,3835,2
7728,8071,1
7752,861,0
7812,6970,3
7824,5003,0
7872,5948,0
7884,2883,0
7956,4323,2
7980,7835,3
7992,7728,2
8160,5402,2
8244,4466,2
8292,2430,1
8376,8709,4
8460,7176,3
8472,1473,1
8520,7293,0
8604,5459,1
8616,2642,1
8628,8990,2
8640,8720,2
8700,6777,1
