,трафик,средний_чек
12,84090,687.7313473
48,67681,1058.086396
144,45387,627.3489859
168,64579,1128.367519
216,67960,1252.73683
324,63772,864.9021563
348,58047,814.5013409
372,64978,777.1406533
396,51567,509.1801221
420,74522,1349.816283
444,64823,752.624941
492,45255,627.1528147
540,86546,1124.546672
576,77724,1351.227756
624,64833,943.0681556
648,65984,1169.41034
696,62926,817.9115205
720,62171,997.2211179
744,51337,744.5897382
876,66891,787.5536386
888,76031,1505.928867
1020,54122,865.7030068
1032,67729,958.739976
1068,59904,822.9538547
1116,66594,812.3731425
1212,61788,1061.080854
1248,52796,910.4020822
1272,65831,1165.100385
1296,66451,1270.756237
1332,78983,1514.789416
1344,58318,881.3604918
1356,82142,1197.15863
1368,66691,1104.222767
1428,66596,907.8982455
1608,59839,1081.170471
1620,82483,1237.034372
1656,77969,1175.642669
1764,50036,549.457263
1812,80772,1216.838481
1824,75029,933.3654573
1896,53868,761.5207366
1944,53362,596.9443797
1956,58669,760.6137623
1968,62160,817.8527406
1980,67570,1140.608719
2136,68450,861.8039123
2160,67197,1204.970864
2196,55938,1123.294531
2220,63472,998.1670338
2232,52007,898.8808896
2244,56902,930.8326762
2520,56732,659.0525139
2556,78756,1192.880386
2592,56107,606.7448685
2616,55255,838.5011805
2628,68961,1185.009658
2700,71702,1045.754758
2712,71710,995.7023547
2844,54070,1120.876776
2904,60783,806.4307266
2928,70771,1848.024031
2940,56697,653.4698646
2952,42012,584.2863907
2964,63356,809.3053457
3204,59268,1036.036464
3264,70063,820.9144999
3300,88401,1071.195114
3396,43231,652.5484682
3408,69857,833.4893805
3456,52985,701.1290745
3468,57923,882.1322913
3480,51039,666.7107389
3492,56993,738.0129017
3540,75755,1247.942786
3588,95740,1277.88549
3612,63420,1066.641844
3768,58762,947.9173704
4080,55892,670.3131492
4104,54901,932.799133
4152,56351,633.9413842
4200,78521,1574.505059
4212,59509,905.9509324
4236,72664,942.6328183
4272,66486,874.779213
4356,83051,1102.158383
4368,51320,1014.390397
4416,65382,1339.815174
4452,44096,767.8401216
4488,55064,633.891679
4524,48211,681.9296359
4596,74463,1468.753713
4632,80787,1517.553572
4668,51406,872.0522451
4680,50705,663.5435185
4692,68200,1140.98627
4728,61166,891.2737253
4824,52312,730.6439193
4860,75943,1346.669432
4896,72840,876.1041438
5016,51379,663.1737505
5028,63867,753.0316165
5064,60245,608.2066351
5076,45757,572.5873828
5088,61475,848.0427252
5100,86129,938.3566238
5112,37260,756.1447986
5124,108201,1774.804718
5148,65676,707.1069444
5220,75708,1214.509386
5268,67142,936.152221
5400,86733,1011.536288
5424,80656,824.3659767
5436,53135,863.4737495
5448,89415,1884.457096
5460,47790,620.7864256
5520,61084,788.5477565
5532,73336,978.6582742
5544,67095,897.8145616
5568,70607,902.2338488
5580,69663,953.537624
5604,92576,1603.338628
5640,79070,1426.166801
5724,64181,889.4744673
5772,65154,966.8777535
5808,101629,1789.176799
6036,62988,931.6153937
6084,53560,695.7883015
6096,66268,906.195937
6132,83524,1055.052742
6168,48333,587.9143486
6192,50139,920.872349
6228,52855,617.0959797
6264,84216,1239.824147
6288,62418,744.3846982
6360,69826,1074.424599
6396,71496,832.8339907
6408,76904,1020.902113
6492,74205,1341.261998
6516,50356,722.1981564
6528,67773,916.1903618
6564,99151,1363.545285
6660,54340,617.3741387
6708,62655,1334.434512
6744,76489,1418.377721
6816,50339,675.0326395
7008,90763,711.9979895
7020,61679,1335.901342
7044,69730,972.7919339
7092,53274,767.1186541
7116,65467,840.637458
7128,67444,1007.745454
7176,77042,1100.808644
7248,67131,1000.782968
7368,47828,763.1025731
7404,71766,1219.358034
7452,50761,578.8744398
7596,46700,456.9425638
7716,66027,998.4482981
7728,73055,1562.772885
7752,62247,1213.727538
7812,54556,1022.63907
7824,56044,871.725618
7872,84230,1464.316369
7884,47086,588.2984796
7956,58428,638.7273922
7980,57312,933.2308868
7992,59188,672.1259347
8160,53832,631.3533726
8244,74694,1760.971385
8292,48256,1114.389672
8376,57148,856.1370366
8460,67049,1227.040958
8472,76819,954.3389001
8520,79569,1300.421479
8604,57905,743.6097286
8616,64554,1148.0932
8628,81732,1162.717094
8640,86329,1613.022613
8700,72481,920.0994629
8782,72111,1067.178075
8794,52335,565.927715
8830,58766,1426.93423
8962,77337,1209.978622
8986,86062,1763.47451
9094,80083,1188.298281
9142,83193,1470.596631
9166,79044,1073.447047
9214,63174,875.6196857
9226,86854,1069.245003
9238,68867,1098.520575
9250,71901,1958.686864
9262,83168,1077.672031
9298,52913,777.7223538
9358,49420,625.2812445
9526,83619,1064.955349
9574,73125,870.5082053
9658,82970,1428.909989
9694,55617,836.6105174
9790,67199,1341.220473
9874,80014,1834.792821
9910,55280,737.9591734
9970,78796,729.132003
9982,111086,1686.216562
10066,65106,1085.576132
10138,93119,1511.202245
10162,49470,537.2212921
10174,47759,867.9323988
10222,65702,1069.931896
10414,56393,1002.723072
10558,68204,1161.509177
10618,59224,996.8378039
10642,51085,934.3826893
10666,62384,993.2463618
10714,78532,952.0963727
10726,94343,1806.590815
10738,47436,696.8470271
10798,74659,1407.886178
10930,63693,902.0150787
10942,56901,865.9618532
11042,57056,1004.591653
11150,68982,828.0866128
11222,52488,618.9017099
11258,50535,798.6019589
11318,82194,1263.92411
11354,74579,1101.977782
11390,48401,704.5883154
11402,49754,957.8917246
12208,65659,993.4517062
12264,48084,841.2634392
12440,51371,599.8105423
12464,61271,778.6319243
12476,54544,1120.737422
12500,56580,863.0008876
13844,79390,1024.295113
13856,78682,848.0022263
13868,94657,935.8842926
13880,77189,758.1191049
13892,67597,748.3700525
13904,69342,921.0873545
14024,95109,1861.333419
14036,74507,1626.362043
14048,81596,1731.831467
14060,46695,851.347698
14072,51746,2172.997361
15152,79012,1944.881476
15164,93176,1704.585271
15176,64719,1437.199311
15716,118164,2185.920525
15728,92064,1530.281683
15740,93502,1637.906618
15752,54220,1047.291571
15860,82501,1933.476414
15872,74365,1151.465294
15884,110970,1898.083573
15896,93322,1602.539725
15908,51311,1065.028855
15920,72264,1326.828469
15932,77068,1444.824609
15944,82479,1632.709476
15956,109646,2014.120249
15968,75347,1416.715876
15980,92649,1618.497178
15992,82753,1372.904068
16004,77514,1260.021501
16016,73678,1273.07514
16028,56961,1344.908026
