,трафик
93,54381
91,55233
88,59464
84,59543
86,60485
87,59673
85,59303
89,58111
92,58369
95,57523
94,55990
90,57105
120,51707
129,52388
122,57609
125,57502
123,59885
124,58700
131,59224
121,58887
127,59729
130,56782
128,55139
126,56212
192,60664
193,53441
199,74333
202,76012
197,77325
203,75963
196,76550
195,76318
200,81887
194,77298
201,74949
198,75483
265,44390
270,44961
269,47879
268,49130
274,50729
267,49896
275,51091
273,50379
272,50267
271,48355
266,47125
264,46914
283,51019
277,51006
285,54777
282,54993
276,56990
284,57324
286,57814
287,57845
280,55568
281,55527
279,54255
278,56373
312,80032
321,80215
315,85118
314,84702
313,86945
318,83123
322,83312
317,83338
323,84262
320,83789
316,81718
319,83656
719,40146
713,40154
710,42378
712,43696
718,45150
715,45936
711,47329
716,46346
717,44546
708,43686
714,42776
709,42146
738,47171
740,47921
741,49653
734,48139
732,50024
736,49677
742,51418
733,48363
735,46133
737,47308
743,46518
739,49156
791,55432
787,54715
783,57938
782,58692
789,58337
788,57300
790,58547
785,58325
786,58198
781,58341
780,56111
784,57197
795,57075
803,57964
800,59400
796,60654
801,60537
792,55187
793,54480
798,53046
797,60908
799,60754
794,53740
802,54125
936,48768
937,49038
938,51131
947,50452
942,51143
944,50741
939,51380
940,50606
946,51341
941,50754
945,49586
943,51352
1049,48006
1044,45430
1045,49472
1054,49757
1050,53383
1048,53522
1053,53115
1046,51887
1055,51080
1047,50658
1052,49366
1051,51611
1198,43382
1193,44211
1196,48129
1195,48075
1190,49436
1197,49162
1188,49998
1199,49939
1191,49149
1192,53389
1189,51372
1194,50309
1243,50044
1246,51790
1237,54043
1244,53349
1245,53250
1240,53165
1238,53056
1239,53126
1242,55433
1236,55511
1247,53547
1241,54034
1405,54078
1411,54136
1414,58196
1413,60693
1415,63733
1407,65708
1410,67193
1412,64503
1406,65407
1404,64581
1409,60977
1408,60940
1476,74904
1479,73931
1486,79402
1483,80250
1485,80890
1484,77729
1481,77680
1482,77217
1478,78453
1487,80018
1477,78404
1480,80132
1559,68884
1556,69408
1552,72591
1554,72545
1548,73576
1555,72551
1557,70941
1549,70071
1553,63429
1551,63515
1558,63339
1550,66561
1691,47657
1683,50295
1685,51146
1684,51405
1688,52889
1681,52540
1686,53658
1690,54221
1687,53740
1682,56011
1680,52639
1689,52440
1747,60175
1748,56565
1743,59217
1751,58569
1750,58231
1745,57403
1740,58797
1744,58036
1746,57994
1741,58147
1749,56844
1742,57633
1789,43832
1792,44108
1795,46171
1794,48563
1788,47342
1790,48720
1791,50962
1796,50340
1798,50046
1793,50109
1797,48336
1799,47317
1806,68802
1802,71111
1801,75696
1805,74794
1809,77908
1804,77655
1811,79914
1807,77509
1810,76909
1808,76659
1803,74453
1800,75878
2025,57001
2026,56660
2018,61194
2019,58400
2016,59988
2022,59549
2020,62333
2023,61473
2021,59242
2027,57749
2024,57154
2017,59134
2058,50738
2052,49307
2057,53190
2056,52355
2060,52930
2062,53664
2063,55488
2054,54480
2059,52941
2061,51861
2055,53620
2053,55474
2266,65059
2261,61742
2257,66433
2267,65011
2258,65855
2263,65395
2264,67005
2259,65195
2256,64113
2262,65488
2260,64568
2265,65936
2427,52791
2424,53894
2425,54066
2433,55079
2428,55412
2431,54015
2434,54185
2430,54194
2426,54123
2429,54769
2432,52787
2435,53957
2509,67731
2515,67779
2516,72542
2511,72909
2508,72319
2519,72853
2518,74333
2513,72890
2517,70478
2510,72638
2514,67074
2512,69871
2568,47067
2574,46261
2575,50167
2571,51263
2569,52543
2570,54332
2573,56347
2576,55163
2577,53147
2579,51313
2578,50627
2572,49856
2827,51054
2823,53575
2828,56665
2830,56954
2821,56918
2831,55942
2820,59984
2824,58060
2829,56678
2825,56114
2822,55008
2826,54295
2926,68255
2924,67908
2920,72584
2922,73256
2919,75585
2917,72802
2921,74215
2925,73177
2916,71853
2927,73199
2918,70228
2923,72550
3015,65991
3014,64568
3020,67660
3021,67046
3016,70241
3017,69934
3023,70613
3019,67935
3018,68804
3013,69675
3012,67128
3022,69482
3030,82691
3024,82009
3034,86131
3026,84379
3025,86583
3028,86175
3027,86479
3033,84750
3035,83761
3031,85337
3032,81979
3029,83799
3038,53678
3040,53094
3047,55512
3042,53759
3037,55219
3036,54376
3041,54925
3043,53477
3046,53310
3045,54780
3044,53601
3039,55733
3050,77658
3051,77984
3059,82225
3053,81010
3058,82888
3054,82410
3056,82332
3049,81369
3057,80461
3048,83064
3052,81510
3055,84256
3080,75666
3078,75981
3074,81226
3077,80802
3075,81339
3076,79850
3079,79193
3082,77842
3081,78952
3072,80433
3083,78170
3073,80272
3086,80947
3093,83202
3090,87778
3085,85471
3094,85264
3091,83146
3087,80479
3095,80757
3089,83267
3092,86819
3088,84113
3084,85014
3101,70036
3102,72396
3103,77447
3107,78844
3097,78262
3098,74933
3096,71402
3104,69182
3099,83667
3105,83530
3100,78740
3106,78198
3126,82709
3127,83770
3122,87593
3131,87227
3129,88038
3130,85554
3128,84199
3121,65227
3124,87168
3120,90491
3123,89098
3125,89847
3136,56924
3141,57230
3133,59484
3140,61819
3137,61275
3143,56367
3142,56670
3132,55456
3138,61616
3139,59907
3135,61670
3134,61806
3186,62331
3180,62178
3189,64718
3184,64099
3191,64179
3187,63167
3181,64913
3182,64346
3190,64154
3188,63952
3183,62658
3185,63432
3296,44529
3293,43500
3295,46485
3291,45132
3290,46042
3289,42706
3299,42354
3294,42464
3298,44629
3292,46053
3288,44679
3297,45512
3323,61638
3315,61131
3318,57011
3312,56383
3314,58423
3313,59588
3316,59582
3322,57910
3317,59875
3321,58864
3320,57043
3319,56336
3368,57930
3369,54641
3362,47820
3360,60272
3363,62146
3371,62970
3365,65306
3366,64094
3361,63182
3367,63991
3364,62910
3370,65485
3738,50987
3743,49434
3741,51858
3733,53895
3735,56252
3736,55537
3732,55588
3739,56176
3734,57875
3740,56894
3742,55312
3737,57260
3746,61290
3754,61787
3752,64913
3747,64939
3755,65533
3753,66449
3745,65937
3744,64421
3748,65547
3751,66636
3750,65511
3749,65864
3828,45833
3839,46751
3833,50401
3837,51119
3836,52726
3832,53809
3835,56297
3829,55372
3830,54530
3834,51783
3831,50369
3838,50338
3969,57400
3971,57145
3968,59622
3961,58995
3967,59625
3960,58133
3966,58468
3964,56932
3962,55763
3963,55242
3970,53636
3965,56209
4051,61395
4055,62272
4054,65176
4049,63154
4048,64798
4052,64669
4045,65008
4053,63562
4044,63932
4050,63428
4046,59940
4047,60732
4102,48514
4098,48185
4094,50996
4101,50526
4097,50978
4093,50538
4096,50785
4099,49935
4100,48960
4103,49280
4092,47292
4095,47581
4118,44695
4120,45711
4126,49108
4123,48359
4122,51353
4116,53718
4119,53472
4117,52496
4127,51478
4121,50821
4124,49050
4125,49183
4794,47379
4798,47195
4789,50948
4795,48874
4791,48864
4797,49757
4799,50360
4792,50482
4793,49185
4790,49493
4796,48116
4788,48554
4845,44699
4844,44533
4838,47827
4839,55119
4843,52601
4840,51691
4841,51967
4837,51412
4847,49986
4846,48485
4842,48409
4836,50150
4884,73291
4889,73545
4888,77794
4887,76104
4892,78036
4895,72108
4893,75036
4886,73874
4890,77177
4885,75898
4891,74456
4894,75498
5049,53457
5048,53262
5046,56734
5050,55375
5043,58979
5051,59178
5042,62047
5041,61058
5040,60493
5044,60833
5045,59139
5047,59174
5301,51263
5297,51918
5294,55318
5302,57205
5296,60800
5293,62182
5303,62884
5295,60970
5292,59526
5298,58201
5300,55763
5299,55850
5306,53495
5314,53963
5312,57710
5307,56043
5304,55995
5310,54691
5305,55066
5311,54681
5308,56253
5309,56454
5313,55881
5315,57920
5336,48359
5331,47459
5339,51319
5332,52506
5337,53573
5335,51978
5333,52533
5338,51667
5329,49421
5330,48620
5334,47301
5328,46412
5669,46348
5671,47115
5674,47974
5664,48102
5666,48345
5668,48033
5667,48247
5670,46896
5675,46099
5672,46112
5673,45573
5665,46706
5678,59127
5685,58460
5676,60935
5681,59313
5683,59958
5684,58464
5680,59391
5677,57694
5686,56621
5687,58391
5679,57992
5682,59377
5903,52684
5896,51619
5902,54675
5892,54004
