,пятерочки,айди_магазина,магазины
93,2,7,4
120,2,10,8
192,0,16,5
265,1,22,6
283,1,23,4
312,1,26,5
719,0,59,1
738,2,61,7
791,1,65,5
795,2,66,5
936,2,78,3
1049,1,87,4
1198,0,99,3
1243,0,103,0
1405,1,117,5
1476,3,123,10
1559,1,129,2
1691,2,140,6
1747,4,145,6
1789,3,149,4
1806,1,150,4
2025,0,168,4
2058,1,171,4
2266,0,188,3
2427,1,202,5
2509,1,209,6
2568,0,214,0
2827,1,235,7
2926,0,243,1
3015,2,251,7
3030,1,252,7
3038,2,253,4
3050,1,254,5
3080,0,256,1
3086,4,257,10
3101,3,258,5
3126,1,260,4
3136,1,261,4
3186,3,265,5
3296,3,274,7
3323,4,276,8
3368,1,280,4
3738,1,311,7
3746,2,312,5
3828,1,319,4
3969,2,330,7
4051,0,337,1
4102,0,341,1
4118,1,343,5
4794,4,399,8
4845,1,403,5
4884,2,407,7
5049,0,420,1
5301,0,441,0
5306,0,442,3
5336,0,444,2
5669,2,472,9
5678,1,473,6
5903,3,491,8
6056,0,504,4
6124,1,510,4
6204,1,517,9
6223,3,518,10
6378,0,531,1
6422,0,535,1
6439,0,536,0
6467,0,538,4
6475,0,539,3
6581,2,548,8
6731,1,560,4
6764,1,563,2
6834,2,569,6
6893,0,574,4
6934,0,577,1
6969,1,580,5
7063,2,588,6
7193,1,599,8
7206,2,600,5
7260,2,605,5
7273,0,606,3
7287,1,607,2
7296,0,608,6
7318,0,609,5
7327,2,610,5
7339,1,611,8
7354,1,612,6
7366,2,613,5
7399,0,616,4
7442,0,620,1
7641,0,636,1
7669,0,639,2
7926,1,660,5
8016,2,668,6
8036,1,669,8
8083,2,673,8
8321,2,693,4
8457,1,704,5
8583,2,715,6
8602,0,716,2
8673,0,722,3
8718,1,726,5
8763,1,730,5
8824,2,735,7
8937,1,744,5
9031,0,752,1
9037,0,753,1
9083,0,757,6
9304,1,775,6
9325,1,777,5
9378,5,781,10
9393,1,782,5
9396,4,783,9
9426,3,785,6
9437,1,786,7
9455,1,788,4
9468,0,789,5
9480,2,790,5
9493,3,791,6
9512,0,792,2
9587,1,799,8
9617,1,801,3
9654,1,804,3
9787,0,815,0
9852,1,821,4
9866,2,822,7
9900,1,825,3
10000,2,833,4
10009,1,834,7
10036,3,836,13
10052,2,837,4
10057,2,838,4
10241,1,853,4
10247,1,854,5
10348,5,862,6
10790,1,899,5
10813,0,901,1
10831,1,902,2
10879,0,906,3
10887,1,907,9
10911,2,909,9
11002,3,917,9
11030,3,920,9
11081,1,924,6
11140,0,929,3
11177,1,932,6
11437,1,953,4
11448,2,954,5
11451,1,955,2
11466,1,956,4
11482,1,957,9
11495,2,958,6
11499,4,959,9
11521,2,960,6
11524,1,961,3
11537,3,962,10
11547,2,963,10
11566,0,964,4
11570,1,965,4
11583,3,966,6
11597,1,967,3
11616,4,968,11
11628,3,969,6
11640,1,970,4
11645,0,971,5
11662,0,972,2
11674,1,973,3
11688,1,974,3
11810,0,985,3
11875,0,991,0
